ID,Longitude,Latitude,sampling_d
23028430,115.895025,-31.424345,-4
23028431,115.75613,-31.4497,-44.9
23028432,115.75613,-31.4497,-30.9
23028433,115.75613,-31.4497,-11.9
23028434,115.757025,-31.450559,-37.3
23028435,115.757025,-31.450559,-23.81
23028436,115.757025,-31.450559,-7.83
23028437,115.760519,-31.453861,-7.75
23028598,115.683989,-31.555703,-29.6
23028599,115.683979,-31.555702,-18.87
23028600,115.683958,-31.5557,-4.5
23028601,115.688324,-31.557651,-31.8
23028602,115.688334,-31.557649,-21.89
23028603,115.688342,-31.557665,-4
23028604,115.687104,-31.56214,-3
23028605,115.677014,-31.544161,-40.6
23028606,115.677009,-31.544034,-27.28
23028607,115.677026,-31.544043,-6
23028608,115.678855,-31.548336,-3.56
23028609,115.682584,-31.54344,-35.3
23028610,115.682584,-31.54345,-22.55
23028611,115.682584,-31.543465,-2.5
23028612,115.956928,-31.747287,-4.71
23028613,115.973907,-31.753273,-3.92
23028617,115.914963,-31.704879,-4.9
23029947,115.852718,-31.556181,-11
23029948,115.844802,-31.556471,-33.35
23029949,115.844802,-31.556471,-13.31
23030442,115.97408,-32.507097,-3.5
23033943,115.914813,-31.463384,-34.1
23033944,115.914823,-31.463411,-19.92
23033945,115.914855,-31.463402,-4.3
23033946,115.682999,-31.580337,-5
23033947,115.811807,-31.813016,-4.5
23033950,115.788231,-31.877304,-4
23033953,115.794261,-31.877803,-4.92
23041042,115.937067,-31.990817,-1.77
23041043,115.936467,-31.99195,-2.2
23041044,115.936417,-31.9904,-2.2
23044836,115.935908,-31.991535,-2.57
